"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-11-19 ~ 2025-11-18"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 영등포구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 500 ~ 3000 만원"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","서울특별시 영등포구 대림동","8**","8m미만","35.07","월세","202511","13","1,000","50","1983","디지털로64가길","202511~202711","신규","-","","","단독다가구"
"2","서울특별시 영등포구 당산동1가","2*","12m미만","17.65","월세","202511","13","1,000","50","","당산로10길","202511~202611","신규","-","","","단독다가구"
"3","서울특별시 영등포구 당산동4가","3*","12m미만","19.83","월세","202511","12","1,000","63","2017","당산로38길","202512~202712","신규","-","","","단독다가구"
"4","서울특별시 영등포구 도림동","2**","-","29.00","월세","202511","12","3,000","43","1994","도신로15나길","202511~202711","신규","-","","","단독다가구"
"5","서울특별시 영등포구 당산동1가","2*","12m미만","17.65","월세","202511","12","500","45","2014","당산로10길","202511~202711","신규","-","","","단독다가구"
"6","서울특별시 영등포구 신길동","3***","8m미만","19.60","월세","202511","11","3,000","40","","신풍로12가길","202511~202711","신규","-","","","단독다가구"
"7","서울특별시 영등포구 대림동","9**","12m미만","35.00","월세","202511","11","500","70","1987","도림천로21길","202511~202711","신규","-","","","단독다가구"
"8","서울특별시 영등포구 신길동","1**","8m미만","23.10","월세","202511","10","1,000","60","1970","도신로53길","202511~202711","신규","-","","","단독다가구"
"9","서울특별시 영등포구 대림동","8**","8m미만","25.00","월세","202511","10","500","43","2010","디지털로64길","202511~202711","신규","-","","","단독다가구"
"10","서울특별시 영등포구 대림동","9**","8m미만","19.00","월세","202511","10","500","40","2017","디지털로81길","202511~202711","신규","-","","","단독다가구"
"11","서울특별시 영등포구 대림동","1***","8m미만","22.00","월세","202511","10","500","50","1990","디지털로53길","202511~202611","신규","-","","","단독다가구"
"12","서울특별시 영등포구 도림동","1**","12m미만","18.00","월세","202511","09","1,000","48","2017","도림로","202511~202711","신규","-","","","단독다가구"
"13","서울특별시 영등포구 신길동","3***","8m미만","20.00","월세","202511","08","1,000","50","","신풍로12가길","202511~202711","신규","-","","","단독다가구"
"14","서울특별시 영등포구 대림동","1***","8m미만","18.00","월세","202511","08","500","50","2019","디지털로54길","202511~202611","신규","-","","","단독다가구"
