"호선","외부코드","전철역코드","전철역명","출구번호","역세권명"
"1","133","0150",서울역,"4",남대문로5가
"1","133","0150",서울역,"5",퇴계로방면
"1","133","0150",서울역,"9",남대문경찰서
"1","133","0150",서울역,"9",서울스퀘어
"1","133","0150",서울역,"3",한국주택금융공사
"1","133","0150",서울역,"9-1",버스환승센터
"1","133","0150",서울역,"5",한국장학재단
"1","133","0150",서울역,"3",한국공정거래조정원
"1","133","0150",서울역,"2",서울로
"1","133","0150",서울역,"2",문화역서울284
"1","133","0150",서울역,"7",남대문시장
"1","133","0150",서울역,"3",프랑스문화원
"1","133","0150",서울역,"3",안전보건공단 서울북부지사
"1","133","0150",서울역,"7",퇴계로
"1","133","0150",서울역,"4",남창동방면
"1","133","0150",서울역,"1",서울역
"1","133","0150",서울역,"1",동자동
"1","133","0150",서울역,"1",서울시티투어버스 타는 곳
"1","133","0150",서울역,"2",경의선 서울역
"1","133","0150",서울역,"2",국민권익위원회
"1","133","0150",서울역,"2",역전우체국
"1","133","0150",서울역,"2",역전파출소
"1","133","0150",서울역,"3",남대문(숭례문)
"1","133","0150",서울역,"3",봉래동1가
"1","133","0150",서울역,"4",남대문방면
"1","133","0150",서울역,"4",남대문시장
"1","133","0150",서울역,"5",남산공원방면
"1","132","0151",시청,"3",대한성공회
"1","132","0151",시청,"2",서울중앙지방법원 중부등기소
"1","132","0151",시청,"1",서울시립미술관
"1","132","0151",시청,"2",서울시립미술관
"1","132","0151",시청,"3",서울역사박물관
"1","132","0151",시청,"1",서울시티투어 버스 타는곳
"1","132","0151",시청,"1",덕수궁
"1","132","0151",시청,"1",덕수궁미술관
"1","132","0151",시청,"1",유관순기념관
"1","132","0151",시청,"1",경향신문사
"1","132","0151",시청,"2",덕수궁
"1","132","0151",시청,"2",창덕여중
"1","132","0151",시청,"2",경향신문사
"1","132","0151",시청,"3",서울시티투어 버스 타는곳
"1","132","0151",시청,"3",서울특별시의회
"1","132","0151",시청,"3",영국대사관
"1","132","0151",시청,"4",광화문우체국
"1","132","0151",시청,"4",동아일보사
"1","132","0151",시청,"5",서울특별시청
"1","132","0151",시청,"5",무교동
"1","132","0151",시청,"2",서울자유시민대학
"1","132","0151",시청,"7",소공동사무소
"1","132","0151",시청,"7", 북창동방면
"1","132","0151",시청,"2",덕수궁미술관
"1","132","0151",시청,"2",정동극장
"1","132","0151",시청,"3",광화문방면
"1","132","0151",시청,"3",정부서울청사
"1","132","0151",시청,"3",세종문화회관
"1","132","0151",시청,"3",조선일보사
"1","132","0151",시청,"4",미국대사관
"1","132","0151",시청,"4",프레스센터
"1","132","0151",시청,"4",서울신문사
"1","132","0151",시청,"5",을지로방면
"1","132","0151",시청,"6",소공동방면
"1","132","0151",시청,"7", 남대문시장
"1","132","0151",시청,"7", 한국은행본점
"1","132","0151",시청,"1",서울특별시청서소문별관
"1","132","0151",시청,"1",서울특별시 의회별관
"1","132","0151",시청,"1",창덕여중
"1","132","0151",시청,"1",이화여고
"1","132","0151",시청,"1",서울중앙지방법원 중부등기소
"1","132","0151",시청,"1",정동극장
"1","132","0151",시청,"2",서울특별시청서소문별관
"1","132","0151",시청,"2",서울특별시 의회별관
"1","131","0152",종각,"6",서린동 
"1","131","0152",종각,"1",헌혈의집 광화문센터
"1","131","0152",종각,"3",종로1.2.3.4가 동주민센터
"1","131","0152",종각,"1",서울지방국세청
"1","131","0152",종각,"2",공평동
"1","131","0152",종각,"3",서울기독교 청년회 
"1","131","0152",종각,"4",관철동
"1","131","0152",종각,"5",한국관광공사 서울센터
"1","131","0152",종각,"5",예금보험공사
"1","131","0152",종각,"1",종로구청 
"1","131","0152",종각,"1",광화문 
"1","131","0152",종각,"1",종로소방서
"1","131","0152",종각,"1",미국대사관
"1","131","0152",종각,"2",안국동
"1","131","0152",종각,"2",조계사 
"1","131","0152",종각,"3",인사동
"1","131","0152",종각,"4",보신각
"1","131","0152",종각,"5",광교
"1","131","0152",종각,"5",무교동
"1","131","0152",종각,"6",광화문 우체국 
"1","131","0152",종각,"5",국민건강보험공단 종로지사
"1","131","0152",종각,"4",서울 고용복지플러스센터
"1","131","0152",종각,"4",청계천 방면
"1","131","0152",종각,"6",서울글로벌센터
"1","131","0152",종각,"4",서울 고용노동청
"1","130","0153",종로3가,"1",종로2가 지구대
"1","130","0153",종로3가,"2","종로1,2,3,4가동사무소"
"1","130","0153",종로3가,"1",낙원상가
"1","130","0153",종로3가,"2",창덕궁
"1","130","0153",종로3가,"10",창덕궁
"1","130","0153",종로3가,"10",종로3가파출소
"1","130","0153",종로3가,"10",종로3가소방파출소
"1","130","0153",종로3가,"11",종묘
"1","130","0153",종로3가,"11",종묘시민공원
"1","130","0153",종로3가,"14",청계천3가
"1","130","0153",종로3가,"14",서울청소년수련관
"1","130","0153",종로3가,"15",기업은행
"1","130","0153",종로3가,"1",탑골공원
"1","130","0153",종로3가,"1",종로2가 우체국
"1","130","0153",종로3가,"3",돈의동
"1","130","0153",종로3가,"4",인사동방면
"1","130","0153",종로3가,"5",인사동방면
"1","130","0153",종로3가,"12",종로4가
"1","130","0153",종로3가,"12",세운상가
"1","130","0153",종로3가,"12",대림상가
"1","130","0153",종로3가,"13",장사동
"1","130","0153",종로3가,"13",기계공구상가
"1","130","0153",종로3가,"13",청계천3가
"1","130","0153",종로3가,"15",관수동
"1","130","0153",종로3가,"15",종로2가
"1","129","0154",종로5가,"1",혜화경찰서 
"1","129","0154",종로5가,"3",효제초등학교
"1","129","0154",종로5가,"4",동대문방면
"1","129","0154",종로5가,"4", 효제동
"1","129","0154",종로5가,"5",종로6가
"1","129","0154",종로5가,"6",청계천 5가
"1","129","0154",종로5가,"6",동대문 시장
"1","129","0154",종로5가,"7",광장시장
"1","129","0154",종로5가,"8",광장시장
"1","129","0154",종로5가,"5",동대문방면
"1","129","0154",종로5가,"2",서울보증보험
"1","129","0154",종로5가,"2",삼양빌딩
"1","129","0154",종로5가,"7",방산시장
"1","129","0154",종로5가,"1",서울신용보증재단
"1","129","0154",종로5가,"4","종로5,6가동 주민센터"
"1","129","0154",종로5가,"1",종로4가 방면
"1","129","0154",종로5가,"1",종로5가우체국
"1","129","0154",종로5가,"1",서울특별시선거관리위원회
"1","129","0154",종로5가,"3",중부교육청
"1","129","0154",종로5가,"3",효제동
"1","129","0154",종로5가,"4",종로6가
"1","129","0154",종로5가,"5",동대문 시장
"1","129","0154",종로5가,"6",평화 시장
"1","129","0154",종로5가,"7",청계천 5가
"1","129","0154",종로5가,"7",종로5가파출소
"1","129","0154",종로5가,"8",종로4가 방면
"1","129","0154",종로5가,"8",예지동
"1","128","0155",동대문,"4",중앙시장
"1","128","0155",동대문,"1",종로5가
"1","128","0155",동대문,"1",동대문
"1","128","0155",동대문,"1",덕산 파출소
"1","128","0155",동대문,"2",창신동
"1","128","0155",동대문,"2",창신2동
"1","128","0155",동대문,"2",율곡로 방면
"1","128","0155",동대문,"3",창신동
"1","128","0155",동대문,"3",숭인동
"1","128","0155",동대문,"3",창신2동사무소
"1","128","0155",동대문,"3",창신초등학교
"1","128","0155",동대문,"3",기업은행
